Data da Venda,Mês,Região,Vendedor,Código Vendedor,Seção,Vendas
2018-03-16,MAR,Sul,Roberto,1,Eletrônicos,10370.94
2018-05-14,MAI,Sul,Ronaldo,8,Automotivo,7423.96
2018-02-10,FEV,Norte,Ronaldo,8,Móveis,3079.5
2018-02-10,FEV,Nordeste,Raquel,7,Livros,2393.32
2018-01-25,JAN,Sudeste,Ricardo,2,Informática,14222.64
2018-02-03,FEV,Norte,Rafael,6,Informática,3308.96
2018-04-24,ABR,Sudeste,Ricardo,2,Eletrônicos,12112.44
2018-03-18,MAR,Sudeste,Renata,5,Informática,5609.87
2018-03-29,MAR,Sudeste,Rodrigo,3,Eletrodomésticos,5225.87
2018-03-20,MAR,Sul,Roberta,4,Automotivo,810.93
2018-01-29,JAN,Sudeste,Rafael,6,Games,3960.78
2018-03-22,MAR,Norte,Roberto,1,Eletrônicos,7817.42
2018-01-22,JAN,Nordeste,Rafael,6,Automotivo,6214.39
2018-04-02,ABR,Norte,Ronaldo,8,Informática,3843.64
2018-04-24,ABR,Sul,Rafael,6,Informática,1374.8
2018-03-15,MAR,Sul,Rodrigo,3,Games,6489.05
2018-01-14,JAN,Norte,Renata,5,Móveis,2381.4
2018-05-03,MAI,Sudeste,Rodrigo,3,Informática,2629.93
2018-02-19,FEV,Sul,Roberto,1,Eletrônicos,6687.54
2018-01-19,JAN,Sul,Roberta,4,Telefonia,4835.25
2018-03-12,MAR,Nordeste,Ronaldo,8,Telefonia,4854.56
2018-04-16,ABR,Nordeste,Rodrigo,3,Eletrônicos,15608.7
2018-01-14,JAN,Sudeste,Ronaldo,8,Informática,16908.59
2018-01-17,JAN,Norte,Renata,5,Eletrodomésticos,11109.53
2018-04-09,ABR,Sudeste,Roberto,1,Móveis,14507.1
2018-05-14,MAI,Sul,Rafael,6,Informática,5213.6
2018-04-01,ABR,Norte,Renata,5,Informática,5017.32
2018-05-07,MAI,Sudeste,Ronaldo,8,Móveis,10401.23
2018-05-24,MAI,Sul,Roberta,4,Games,5815.99
2018-04-14,ABR,Nordeste,Ricardo,2,Eletrônicos,3145.33
2018-05-03,MAI,Sul,Rodrigo,3,Eletrodomésticos,4232.83
2018-03-08,MAR,Sul,Rodrigo,3,Games,5989.22
2018-04-26,ABR,Sudeste,Ricardo,2,Móveis,4530.71
2018-01-07,JAN,Sul,Rafael,6,Telefonia,4171.25
2018-01-18,JAN,Norte,Roberta,4,Móveis,9812.12
2018-01-07,JAN,Nordeste,Rafael,6,Eletrônicos,1111.47
2018-04-05,ABR,Sudeste,Ricardo,2,Games,7974.15
2018-02-25,FEV,Norte,Ricardo,2,Automotivo,16101.6
2018-02-26,FEV,Norte,Renata,5,Informática,16787.42
2018-01-09,JAN,Sul,Rafael,6,Eletrônicos,15134.77
2018-03-11,MAR,Norte,Raquel,7,Eletrônicos,2289.16
2018-05-30,MAI,Norte,Renata,5,Eletrodomésticos,16626.41
2018-02-10,FEV,Sul,Raquel,7,Livros,8760.56
2018-03-21,MAR,Sul,Roberta,4,Eletrodomésticos,7390.21
2018-05-11,MAI,Norte,Raquel,7,Telefonia,5565.09
2018-02-25,FEV,Nordeste,Raquel,7,Livros,6321.8
2018-04-24,ABR,Sul,Ricardo,2,Games,3652.24
2018-03-16,MAR,Norte,Renata,5,Automotivo,2782.1
2018-01-13,JAN,Sul,Raquel,7,Games,5098.65
2018-05-03,MAI,Sudeste,Rafael,6,Eletrônicos,2017.75
2018-03-09,MAR,Nordeste,Roberta,4,Telefonia,7961.72
2018-04-14,ABR,Nordeste,Renata,5,Móveis,8782.57
2018-04-30,ABR,Nordeste,Rodrigo,3,Automotivo,9267.93
2018-05-05,MAI,Sul,Ronaldo,8,Games,2090.93
2018-03-03,MAR,Sul,Roberto,1,Eletrônicos,4984.09
2018-02-25,FEV,Nordeste,Rafael,6,Livros,1362.79
2018-05-26,MAI,Norte,Rafael,6,Móveis,14017.96
2018-03-21,MAR,Sul,Roberta,4,Eletrônicos,5479.72
2018-04-13,ABR,Sudeste,Ronaldo,8,Games,2964.69
2018-01-07,JAN,Sul,Raquel,7,Automotivo,19228.1
2018-05-08,MAI,Norte,Raquel,7,Eletrônicos,4878.82
2018-02-18,FEV,Sudeste,Roberto,1,Eletrônicos,9309.55
2018-04-18,ABR,Sul,Ricardo,2,Livros,14817.7
2018-03-02,MAR,Sul,Roberto,1,Games,14837.28
2018-05-30,MAI,Norte,Raquel,7,Informática,19228.1
2018-01-27,JAN,Sul,Rodrigo,3,Móveis,2947.67
2018-03-22,MAR,Sul,Ricardo,2,Eletrônicos,8758.48
2018-01-19,JAN,Nordeste,Rodrigo,3,Eletrodomésticos,3903.93
2018-05-14,MAI,Sudeste,Roberto,1,Móveis,4709.05
2018-05-29,MAI,Sul,Roberta,4,Eletrodomésticos,9846.34
2018-05-23,MAI,Nordeste,Raquel,7,Games,4969.38
2018-04-17,ABR,Nordeste,Renata,5,Automotivo,19228.1
2018-05-03,MAI,Sudeste,Ricardo,2,Telefonia,19228.1
2018-05-26,MAI,Sudeste,Roberta,4,Eletrônicos,12698.67
2018-05-14,MAI,Sudeste,Rodrigo,3,Móveis,1940.05
2018-01-10,JAN,Sudeste,Rodrigo,3,Automotivo,10419.19
2018-03-21,MAR,Sudeste,Renata,5,Telefonia,2041.19
2018-01-18,JAN,Nordeste,Ronaldo,8,Automotivo,19228.1
2018-05-19,MAI,Nordeste,Renata,5,Livros,2363.47
2018-01-15,JAN,Sudeste,Rodrigo,3,Telefonia,4272.33
2018-04-01,ABR,Nordeste,Ronaldo,8,Livros,13197.97
2018-03-12,MAR,Norte,Roberta,4,Livros,2132.81
2018-01-09,JAN,Norte,Rodrigo,3,Móveis,1511.09
2018-03-15,MAR,Sul,Roberto,1,Eletrônicos,6704.72
2018-03-14,MAR,Norte,Rafael,6,Games,1726.45
2018-04-15,ABR,Norte,Roberto,1,Telefonia,10973.34
2018-05-04,MAI,Nordeste,Raquel,7,Informática,4005.98
2018-02-23,FEV,Norte,Roberta,4,Livros,19228.1
2018-05-13,MAI,Norte,Ricardo,2,Livros,17894.55
2018-02-06,FEV,Sul,Ronaldo,8,Eletrônicos,9002.11
2018-04-14,ABR,Sudeste,Rodrigo,3,Informática,14413.6
2018-05-27,MAI,Sudeste,Roberto,1,Eletrônicos,4753.17
2018-03-24,MAR,Norte,Ricardo,2,Automotivo,2994.99
2018-03-07,MAR,Nordeste,Rodrigo,3,Móveis,6267.59
2018-01-12,JAN,Sudeste,Roberto,1,Telefonia,7194.05
2018-04-20,ABR,Sul,Ronaldo,8,Eletrônicos,4552.56
2018-01-14,JAN,Sudeste,Rodrigo,3,Livros,19228.1
2018-04-11,ABR,Sudeste,Rodrigo,3,Informática,1058.32
2018-05-25,MAI,Sul,Rodrigo,3,Automotivo,15150.63
2018-02-21,FEV,Norte,Ricardo,2,Eletrônicos,8013.15
2018-04-26,ABR,Sul,Ronaldo,8,Automotivo,9555.93
2018-03-20,MAR,Nordeste,Ronaldo,8,Games,10596.75
2018-05-06,MAI,Norte,Roberto,1,Eletrodomésticos,9715.58
2018-05-10,MAI,Norte,Ricardo,2,Eletrônicos,19228.1
2018-04-22,ABR,Sudeste,Renata,5,Telefonia,13076.1
2018-04-25,ABR,Nordeste,Ronaldo,8,Informática,4266.88
2018-05-05,MAI,Nordeste,Roberto,1,Eletrodomésticos,5817.56
2018-03-12,MAR,Sul,Roberto,1,Eletrodomésticos,1672.23
2018-02-27,FEV,Norte,Rafael,6,Eletrônicos,19228.1
2018-02-04,FEV,Nordeste,Roberto,1,Eletrônicos,1868.97
2018-05-30,MAI,Norte,Roberta,4,Eletrodomésticos,10901.74
2018-05-31,MAI,Sudeste,Rodrigo,3,Automotivo,2876.33
2018-01-16,JAN,Nordeste,Ronaldo,8,Livros,4990.37
2018-04-02,ABR,Sudeste,Rafael,6,Livros,13154.72
2018-03-09,MAR,Sul,Roberto,1,Eletrodomésticos,2403.85
2018-01-11,JAN,Nordeste,Renata,5,Livros,9222.84
2018-02-28,FEV,Sul,Raquel,7,Telefonia,3281.76
2018-02-06,FEV,Nordeste,Raquel,7,Telefonia,1970.02
2018-03-29,MAR,Norte,Ronaldo,8,Games,9037.23
2018-05-23,MAI,Sudeste,Ronaldo,8,Móveis,5252.13
2018-02-15,FEV,Norte,Raquel,7,Eletrônicos,2073.32
2018-02-10,FEV,Norte,Roberta,4,Automotivo,4969.33
2018-03-24,MAR,Sul,Renata,5,Eletrônicos,9264.85
2018-02-22,FEV,Sudeste,Roberta,4,Eletrodomésticos,17387.51
2018-04-02,ABR,Nordeste,Renata,5,Eletrodomésticos,15075.45
2018-02-14,FEV,Nordeste,Ronaldo,8,Móveis,2427.82
2018-01-03,JAN,Sudeste,Rodrigo,3,Telefonia,3302.69
2018-04-16,ABR,Norte,Roberto,1,Automotivo,6284.72
2018-02-18,FEV,Sudeste,Ronaldo,8,Eletrônicos,6663.2
2018-01-16,JAN,Norte,Rafael,6,Informática,1780.12
2018-04-01,ABR,Sudeste,Raquel,7,Informática,2614.46
2018-04-27,ABR,Nordeste,Renata,5,Livros,1984.5
2018-02-20,FEV,Sul,Ronaldo,8,Eletrônicos,19228.1
2018-04-07,ABR,Sudeste,Ronaldo,8,Eletrodomésticos,7127.01
2018-02-09,FEV,Sudeste,Renata,5,Eletrodomésticos,3957.54
2018-05-27,MAI,Sudeste,Ronaldo,8,Games,2309.73
2018-05-28,MAI,Sul,Rafael,6,Eletrodomésticos,7598.45
2018-02-07,FEV,Nordeste,Raquel,7,Eletrodomésticos,19228.1
2018-04-15,ABR,Norte,Roberta,4,Telefonia,2233.1
2018-04-20,ABR,Nordeste,Rafael,6,Eletrodomésticos,2452.12
2018-04-17,ABR,Sul,Ronaldo,8,Games,6376.62
2018-01-13,JAN,Sul,Ricardo,2,Telefonia,19228.1
2018-03-24,MAR,Nordeste,Ronaldo,8,Telefonia,4150.97
2018-03-16,MAR,Nordeste,Ricardo,2,Móveis,8668.77
2018-03-10,MAR,Sul,Roberto,1,Telefonia,1734.13
2018-02-07,FEV,Norte,Rafael,6,Eletrônicos,11140.95
2018-03-03,MAR,Sul,Ronaldo,8,Eletrodomésticos,14058.21
2018-04-07,ABR,Sul,Rodrigo,3,Eletrodomésticos,6744.63
2018-03-19,MAR,Sul,Raquel,7,Livros,2310.86
2018-01-07,JAN,Sudeste,Roberto,1,Games,5905.62
2018-04-09,ABR,Sul,Roberta,4,Livros,3534.37
2018-02-09,FEV,Norte,Raquel,7,Eletrônicos,7836.21
2018-03-24,MAR,Nordeste,Rafael,6,Móveis,3335.39
2018-02-16,FEV,Nordeste,Rafael,6,Games,18615.71
2018-04-11,ABR,Sul,Ricardo,2,Eletrodomésticos,6224.72
2018-01-16,JAN,Norte,Raquel,7,Móveis,9784.61
2018-02-18,FEV,Sudeste,Renata,5,Informática,2402.33
2018-02-17,FEV,Nordeste,Renata,5,Games,5107.47
2018-03-06,MAR,Sudeste,Renata,5,Automotivo,1704.61
2018-01-18,JAN,Nordeste,Roberto,1,Informática,3373.07
2018-03-17,MAR,Nordeste,Roberto,1,Informática,6514.34
2018-04-10,ABR,Sudeste,Rafael,6,Informática,1289.73
2018-01-15,JAN,Sul,Rodrigo,3,Eletrodomésticos,12106.59
2018-02-03,FEV,Nordeste,Rodrigo,3,Games,3449.01
2018-04-04,ABR,Norte,Roberto,1,Informática,6881.3
2018-05-09,MAI,Sudeste,Ronaldo,8,Livros,701.8
2018-03-24,MAR,Nordeste,Ricardo,2,Eletrônicos,2626.21
2018-04-16,ABR,Nordeste,Rafael,6,Informática,19228.1
2018-02-15,FEV,Sudeste,Ricardo,2,Automotivo,1693.63
2018-05-01,MAI,Sul,Raquel,7,Eletrônicos,6455.49
2018-04-29,ABR,Sudeste,Rodrigo,3,Games,9469.31
2018-01-31,JAN,Nordeste,Renata,5,Telefonia,8833.15
2018-04-25,ABR,Sul,Raquel,7,Móveis,8178.09
2018-01-04,JAN,Nordeste,Renata,5,Eletrodomésticos,9931.37
2018-02-20,FEV,Sul,Renata,5,Livros,3194.17
2018-01-07,JAN,Norte,Raquel,7,Livros,3440.34
2018-05-08,MAI,Nordeste,Renata,5,Livros,1666.95
2018-03-23,MAR,Sudeste,Roberto,1,Móveis,6948.69
2018-04-29,ABR,Norte,Ronaldo,8,Informática,4241.66
2018-04-06,ABR,Sul,Renata,5,Telefonia,4272.3
2018-01-03,JAN,Sudeste,Renata,5,Games,5341.31
2018-03-18,MAR,Norte,Roberto,1,Móveis,3509.98
2018-03-27,MAR,Sul,Raquel,7,Móveis,6254.11
2018-03-16,MAR,Sul,Roberto,1,Telefonia,10499.01
2018-02-06,FEV,Sudeste,Roberto,1,Telefonia,7230.21
2018-01-04,JAN,Nordeste,Raquel,7,Games,7227.06
2018-04-03,ABR,Sul,Raquel,7,Games,4936.66
2018-05-01,MAI,Norte,Roberta,4,Automotivo,8528.51
2018-03-11,MAR,Sul,Roberta,4,Móveis,10216.1
2018-05-15,MAI,Sudeste,Ronaldo,8,Móveis,3104.15
2018-03-12,MAR,Nordeste,Ronaldo,8,Eletrônicos,19228.1
2018-03-09,MAR,Norte,Rafael,6,Telefonia,1634.69
2018-05-26,MAI,Sudeste,Roberto,1,Livros,7347.89
2018-03-30,MAR,Sul,Raquel,7,Eletrônicos,9162.79
2018-01-15,JAN,Nordeste,Rafael,6,Eletrodomésticos,19228.1
2018-03-11,MAR,Nordeste,Raquel,7,Móveis,12646.83
2018-03-25,MAR,Sudeste,Renata,5,Telefonia,12239.64
2018-05-22,MAI,Nordeste,Rodrigo,3,Telefonia,9038.15
2018-02-17,FEV,Sudeste,Rodrigo,3,Telefonia,5150.99
2018-02-26,FEV,Norte,Ronaldo,8,Informática,8773.1
2018-03-14,MAR,Nordeste,Raquel,7,Móveis,763.13
2018-04-26,ABR,Norte,Rodrigo,3,Telefonia,19156.95
2018-01-22,JAN,Sul,Rafael,6,Livros,19228.1
2018-01-14,JAN,Nordeste,Renata,5,Telefonia,4305.13
2018-02-10,FEV,Sul,Roberto,1,Automotivo,3338.61
2018-04-10,ABR,Sul,Ronaldo,8,Informática,14441.65
2018-05-02,MAI,Norte,Roberta,4,Telefonia,16016.1
2018-01-07,JAN,Sudeste,Rodrigo,3,Games,6444.19
2018-02-24,FEV,Norte,Raquel,7,Games,7959.46
2018-05-10,MAI,Norte,Ricardo,2,Automotivo,13240.66
2018-03-12,MAR,Norte,Raquel,7,Eletrodomésticos,4166.49
2018-05-15,MAI,Sul,Rodrigo,3,Informática,1739.43
2018-02-09,FEV,Sudeste,Ronaldo,8,Telefonia,1257.11
2018-04-07,ABR,Sudeste,Roberto,1,Eletrônicos,4499.24
2018-01-28,JAN,Norte,Roberta,4,Eletrodomésticos,7293.8
2018-02-14,FEV,Sudeste,Roberta,4,Móveis,2762.18
2018-03-26,MAR,Sul,Roberto,1,Livros,5002.77
2018-05-07,MAI,Nordeste,Ricardo,2,Automotivo,837.4
2018-04-23,ABR,Sudeste,Raquel,7,Informática,9964.98
2018-01-28,JAN,Sudeste,Roberto,1,Eletrônicos,14675.99
2018-03-17,MAR,Nordeste,Raquel,7,Telefonia,15069.31
2018-05-03,MAI,Sul,Raquel,7,Eletrodomésticos,3791.44
2018-05-22,MAI,Sul,Rodrigo,3,Eletrônicos,4203.17
2018-05-30,MAI,Norte,Raquel,7,Games,4914.71
2018-05-13,MAI,Norte,Roberto,1,Informática,2835.05
2018-02-10,FEV,Sudeste,Rafael,6,Games,12367.96
2018-05-22,MAI,Sudeste,Raquel,7,Informática,2697.18
2018-05-31,MAI,Sul,Roberto,1,Móveis,6598.58
2018-04-02,ABR,Sul,Raquel,7,Eletrodomésticos,8027.82
2018-04-16,ABR,Sul,Rafael,6,Informática,10311.01
2018-05-24,MAI,Nordeste,Raquel,7,Games,6531.46
2018-05-24,MAI,Sudeste,Rafael,6,Móveis,4799.21
2018-05-23,MAI,Norte,Ricardo,2,Automotivo,5844.62
2018-01-27,JAN,Nordeste,Raquel,7,Livros,6400.07
2018-03-10,MAR,Norte,Ronaldo,8,Livros,6344.3
2018-01-11,JAN,Sudeste,Roberta,4,Livros,3088.92
2018-01-22,JAN,Norte,Roberta,4,Eletrônicos,11553.97
2018-04-20,ABR,Sudeste,Roberto,1,Automotivo,4214.47
2018-04-14,ABR,Nordeste,Roberta,4,Eletrônicos,19228.1
2018-02-14,FEV,Norte,Renata,5,Informática,2280.37
2018-01-11,JAN,Sul,Rafael,6,Móveis,3058.9
2018-05-27,MAI,Nordeste,Rodrigo,3,Eletrodomésticos,1905.05
2018-03-08,MAR,Sudeste,Rafael,6,Livros,8697.22
2018-04-13,ABR,Sudeste,Rafael,6,Eletrodomésticos,8243.57
2018-01-09,JAN,Nordeste,Roberto,1,Games,15502.15
2018-02-08,FEV,Sudeste,Roberta,4,Games,10877.67
2018-04-05,ABR,Norte,Roberto,1,Livros,3331.36
2018-01-29,JAN,Norte,Renata,5,Eletrônicos,919.74
2018-03-21,MAR,Sudeste,Roberto,1,Automotivo,5544.72
2018-02-17,FEV,Nordeste,Ricardo,2,Eletrônicos,3519.34
2018-03-17,MAR,Sul,Roberta,4,Telefonia,4540.48
2018-05-18,MAI,Sudeste,Renata,5,Livros,6108.1
2018-04-15,ABR,Sul,Roberta,4,Eletrodomésticos,2943.0
2018-03-31,MAR,Sudeste,Rafael,6,Eletrônicos,7136.57
2018-01-06,JAN,Sul,Ricardo,2,Informática,6661.12
2018-05-23,MAI,Sul,Renata,5,Automotivo,3725.15
2018-01-30,JAN,Sudeste,Raquel,7,Livros,2978.05
2018-04-25,ABR,Norte,Raquel,7,Eletrônicos,18490.18
2018-03-12,MAR,Sudeste,Rodrigo,3,Informática,3826.4
2018-05-01,MAI,Sul,Ronaldo,8,Eletrônicos,3115.69
2018-03-06,MAR,Sudeste,Ronaldo,8,Automotivo,5394.65
2018-02-27,FEV,Sul,Roberta,4,Livros,8205.17
2018-05-20,MAI,Norte,Ricardo,2,Móveis,2985.18
2018-01-18,JAN,Norte,Roberto,1,Telefonia,990.6
2018-02-09,FEV,Sudeste,Renata,5,Livros,14049.3
2018-05-05,MAI,Sul,Roberto,1,Eletrodomésticos,8181.05
2018-03-29,MAR,Sul,Rodrigo,3,Automotivo,1276.39
2018-05-05,MAI,Norte,Ronaldo,8,Games,3773.68
2018-03-18,MAR,Norte,Rodrigo,3,Móveis,4294.18
2018-02-06,FEV,Sul,Rodrigo,3,Eletrônicos,4172.68
2018-03-01,MAR,Nordeste,Roberto,1,Eletrônicos,3820.86
2018-01-13,JAN,Sul,Roberto,1,Móveis,3365.17
2018-02-24,FEV,Sul,Ricardo,2,Automotivo,3092.02
2018-04-02,ABR,Sul,Rodrigo,3,Telefonia,19228.1
2018-03-08,MAR,Nordeste,Rafael,6,Eletrodomésticos,3292.97
2018-04-04,ABR,Nordeste,Rodrigo,3,Informática,18275.54
2018-01-07,JAN,Sul,Ricardo,2,Livros,2935.0
2018-04-08,ABR,Norte,Roberto,1,Eletrodomésticos,6667.19
2018-01-07,JAN,Sul,Rafael,6,Eletrodomésticos,6959.53
2018-05-06,MAI,Sudeste,Ricardo,2,Telefonia,6578.46
2018-02-11,FEV,Norte,Ricardo,2,Automotivo,6101.2
2018-01-25,JAN,Sul,Rodrigo,3,Móveis,12423.43
2018-02-05,FEV,Norte,Roberto,1,Eletrônicos,9132.62
2018-02-02,FEV,Sul,Renata,5,Informática,6424.76
2018-04-21,ABR,Sul,Roberto,1,Automotivo,6455.08
2018-03-03,MAR,Norte,Raquel,7,Eletrônicos,4098.59
2018-03-18,MAR,Norte,Ronaldo,8,Informática,12805.87
2018-02-22,FEV,Sudeste,Roberto,1,Eletrodomésticos,6689.95
2018-05-06,MAI,Norte,Rafael,6,Eletrônicos,10675.52
2018-04-16,ABR,Nordeste,Renata,5,Games,3053.3
2018-04-07,ABR,Sul,Ricardo,2,Informática,4001.54
2018-02-12,FEV,Sul,Renata,5,Livros,2121.53
2018-01-09,JAN,Sul,Rodrigo,3,Informática,4902.56
2018-01-23,JAN,Sudeste,Ronaldo,8,Games,5499.8
2018-02-11,FEV,Sudeste,Rodrigo,3,Games,6797.43
2018-01-22,JAN,Norte,Ronaldo,8,Móveis,7008.42
2018-01-30,JAN,Sul,Roberta,4,Livros,4499.75
2018-03-15,MAR,Norte,Raquel,7,Games,6022.17
2018-01-24,JAN,Sudeste,Rodrigo,3,Livros,7391.47
2018-01-26,JAN,Sudeste,Raquel,7,Telefonia,13750.2
2018-03-24,MAR,Nordeste,Roberta,4,Móveis,2099.88
2018-02-26,FEV,Sudeste,Roberta,4,Automotivo,8319.1
2018-02-08,FEV,Sul,Roberto,1,Eletrodomésticos,1331.37
2018-02-25,FEV,Nordeste,Raquel,7,Informática,7879.99
2018-02-14,FEV,Sudeste,Roberta,4,Eletrônicos,16624.74
2018-04-06,ABR,Sul,Rafael,6,Móveis,9735.34
2018-02-28,FEV,Sul,Roberta,4,Games,19228.1
2018-01-28,JAN,Sul,Rodrigo,3,Móveis,8382.13
2018-01-10,JAN,Sul,Rafael,6,Livros,5017.93
2018-01-14,JAN,Sudeste,Raquel,7,Eletrodomésticos,4613.17
2018-01-08,JAN,Sul,Raquel,7,Informática,9998.65
2018-05-25,MAI,Sul,Roberto,1,Automotivo,6242.68
2018-04-25,ABR,Norte,Ricardo,2,Móveis,5267.17
2018-01-25,JAN,Nordeste,Roberto,1,Games,19228.1
2018-01-13,JAN,Nordeste,Roberto,1,Móveis,9394.47
2018-01-23,JAN,Sul,Ronaldo,8,Telefonia,10267.24
2018-02-04,FEV,Sul,Roberto,1,Telefonia,3773.14
2018-01-07,JAN,Sudeste,Ronaldo,8,Telefonia,14587.64
2018-05-15,MAI,Sudeste,Ricardo,2,Eletrônicos,3553.63
2018-05-25,MAI,Sul,Renata,5,Móveis,6160.42
2018-03-25,MAR,Sul,Roberta,4,Automotivo,3510.07
2018-04-15,ABR,Sudeste,Rafael,6,Games,10181.62
2018-01-26,JAN,Norte,Rodrigo,3,Telefonia,8717.61
2018-03-06,MAR,Sul,Raquel,7,Livros,15550.7
2018-03-28,MAR,Sudeste,Rafael,6,Livros,2464.63
2018-03-19,MAR,Sul,Raquel,7,Eletrônicos,19213.86
2018-01-26,JAN,Norte,Roberto,1,Telefonia,12049.47
2018-03-29,MAR,Norte,Roberto,1,Eletrônicos,3892.82
2018-02-14,FEV,Nordeste,Roberta,4,Informática,8214.34
2018-01-25,JAN,Norte,Rodrigo,3,Informática,4918.06
2018-05-05,MAI,Sul,Renata,5,Móveis,3685.41
2018-03-06,MAR,Norte,Rodrigo,3,Livros,7607.48
2018-03-22,MAR,Norte,Rafael,6,Games,19228.1
2018-02-21,FEV,Sudeste,Ricardo,2,Móveis,8256.17
2018-02-07,FEV,Sudeste,Roberto,1,Games,4592.78
2018-05-16,MAI,Sudeste,Rafael,6,Eletrônicos,5080.19
2018-04-25,ABR,Sudeste,Roberto,1,Eletrônicos,835.67
2018-02-24,FEV,Norte,Rafael,6,Livros,5752.22
2018-02-23,FEV,Norte,Rafael,6,Games,5384.39
2018-02-28,FEV,Norte,Ricardo,2,Eletrodomésticos,8895.26
2018-04-03,ABR,Sul,Roberta,4,Automotivo,3054.69
2018-02-28,FEV,Norte,Roberta,4,Games,1221.69
2018-05-01,MAI,Nordeste,Roberta,4,Eletrônicos,5378.55
2018-05-28,MAI,Norte,Ronaldo,8,Automotivo,8953.4
2018-05-14,MAI,Norte,Roberta,4,Eletrodomésticos,9029.68
2018-02-07,FEV,Sudeste,Raquel,7,Telefonia,2035.62
2018-03-13,MAR,Sudeste,Renata,5,Informática,3090.55
2018-05-09,MAI,Norte,Roberta,4,Games,2391.79
2018-01-26,JAN,Nordeste,Ronaldo,8,Eletrônicos,2479.44
